Country,Score
Denmark,82.5
Luxembourg,82.3
Switzerland,81.5
United Kingdom,81.3
France,80
Austria,79.6
Finland,78.9
Sweden,78.7
Norway,77.7
Germany,77.2
Netherlands,75.3
Japan,75.1
Australia,74.9
Spain,74.3
Belgium,73.3
